trip_id,arrival_time,departure_time,stop_id,stop_sequence
airport_line_weekday_姪浜方面_2,5:30:00,5:30:00,hakata,1
airport_line_weekday_姪浜方面_2,5:32:00,5:32:00,gion,2
airport_line_weekday_姪浜方面_2,5:33:00,5:33:00,nakasu_kawabata,3
airport_line_weekday_姪浜方面_2,5:34:00,5:34:00,nakasu_kawabata,4
airport_line_weekday_姪浜方面_2,5:36:00,5:36:00,tenjin,5
airport_line_weekday_姪浜方面_2,5:38:00,5:38:00,akasaka,6
airport_line_weekday_姪浜方面_2,5:40:00,5:40:00,ohori_koen,7
airport_line_weekday_姪浜方面_2,5:41:00,5:41:00,tojinmachi,8
airport_line_weekday_姪浜方面_2,5:44:00,5:44:00,nishijin,9
airport_line_weekday_姪浜方面_2,5:46:00,5:46:00,fujisaki,10
airport_line_weekday_姪浜方面_2,5:47:00,5:47:00,muromi,11
airport_line_weekday_姪浜方面_2,5:49:00,5:49:00,meinohama,12
airport_line_weekday_姪浜方面_3,5:30:00,5:30:00,kaizuka,1
airport_line_weekday_姪浜方面_3,5:32:00,5:32:00,hakozaki_kyudai_mae,2
airport_line_weekday_姪浜方面_3,5:34:00,5:34:00,hakozakigu_mae,3
airport_line_weekday_姪浜方面_3,5:35:00,5:35:00,maidashi_kyudai_byoin_mae,4
airport_line_weekday_姪浜方面_3,5:37:00,5:37:00,chiyo_kencho_guchi,5
airport_line_weekday_姪浜方面_3,5:39:00,5:39:00,gofukumachi,6
airport_line_weekday_姪浜方面_3,5:40:00,5:40:00,nakasu_kawabata,7
airport_line_weekday_姪浜方面_3,5:40:00,5:40:00,nakasu_kawabata,8
airport_line_weekday_姪浜方面_3,5:40:00,5:40:00,nakasu_kawabata,9
airport_line_weekday_姪浜方面_3,5:42:00,5:42:00,tenjin,10
airport_line_weekday_姪浜方面_3,5:44:00,5:44:00,akasaka,11
airport_line_weekday_姪浜方面_3,5:46:00,5:46:00,ohori_koen,12
airport_line_weekday_姪浜方面_3,5:48:00,5:48:00,tojinmachi,13
airport_line_weekday_姪浜方面_3,5:50:00,5:50:00,nishijin,14
airport_line_weekday_姪浜方面_3,5:52:00,5:52:00,fujisaki,15
airport_line_weekday_姪浜方面_3,5:54:00,5:54:00,muromi,16
